subject,session,trial,serialpos,word,item_num,onset,sample,recalled,eeg_file,event_file
LTP063,15,1,1,BEAST,108,294.724,147362,1,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,1,2,ISLAND,745,298.772,149386,1,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,1,3,PROTON,1132,302.954,151477,1,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,1,4,PANTHER,1009,306.844,153422,1,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,1,5,DAM,436,310.852,155426,0,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,1,6,BISON,131,315.034,157517,1,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,1,7,BERRY,122,318.984,159492,1,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,1,8,ALLEY,15,323.024,161512,0,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,1,9,CONCRETE,361,327.222,163611,1,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,1,10,ROAD,1196,331.104,165552,1,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,1,11,WAITRESS,1581,335.162,167581,1,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,1,12,FEAST,556,339.102,169551,1,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,1,13,COLUMN,350,342.984,171492,1,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,1,14,EDITORIAL,517,347.15,173575,0,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,1,15,SLUG,1329,351.082,175541,1,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,1,16,TOMATO,1476,355.014,177507,1,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,2,1,STONE,1385,440.104,220052,0,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,2,2,VIOLIN,1571,443.97,221985,0,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,2,3,DIRECTOR,471,448.026,224013,0,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,2,4,WITNESS,1618,452.176,226088,1,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,2,5,BLUEBERRY,140,456.226,228113,0,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,2,6,WORKER,1621,460.058,230029,0,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,2,7,BAIT,70,463.872,231936,0,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,2,8,SUITCASE,1403,467.87,233935,0,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,2,9,KNAPSACK,783,471.92,235960,0,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,2,10,RACK,1154,475.784,237892,0,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,2,11,MINK,897,479.934,239967,0,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,2,12,SEA,1259,483.85,241925,1,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,2,13,LEADER,807,488.04,244020,0,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,2,14,ORCHESTRA,981,492.04,246020,0,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,2,15,NEST,945,495.888,247944,1,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,2,16,HAWK,692,499.786,249893,1,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,3,1,MILITARY,894,583.936,291968,1,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,3,2,WHEEL,1603,587.952,293976,1,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,3,3,JAW,751,592.068,296034,0,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,3,4,MOUTH,926,595.89,297945,0,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,3,5,SCROLL,1257,599.756,299878,0,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
LTP063,15,3,6,JEEP,753,603.94,301970,1,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_eeg.edf,data/ds004395/sub-LTP063/ses-15/eeg/sub-LTP063_ses-15_task-ltpFR_events.tsv
